Tweet,Tweet Length
@V3g3L Era digital kenapa kabinet jadi gemoy* ?,8
@ronaldy596 gobloknya kok kompak 1 kabinet terus kalau bikin umkm ternyata ga di support yang bisnisnya jalan lancar ya temen-temen hedonis lo doang,23
@setkabgoid @prabowo Awalnya sudah salah dengan kabinet gendut. Pasar merespon dengan pelemahan rupiah. Semoga cepat lepas dari cengkraman Mulyono dan bersih2 dari penjilat. Ingat rakyat mengawasi dengan ketat.,28
@kamto_adi Kalo gitu diganti orang sipil bisa menjabat danramil. Kenapa tidak bisa?,12
@Metro_TV Semangat terus buat calon menteri kabinet Prabowo-Gibran semoga sukses dan bisa memberikan yang terbaik untuk negara kita!,18
Lah itu Bahlil gelar Doktor bermasalah gak dicopot pak? Natalius Pigai blom kerja keras udah tambah anggaran 20 T Bapak @prabowo sbg Presiden yg angkat harusnya yg pecat! Jgn bosen2 resuffle sampe bener2 clean and clear orang2nya yg disebut profesional/kabinet zakken itu!ðŸ‡²ðŸ‡¨,42
@BebySoSweet Itu sdh benar sesuai namanya... Kabinet gemoy...kabinet obesitas...,9
@nalar_logis @yaniarsim Woyyy.... Mulyono belum selesai dgn dirinya. Belum safe biar anak udah RI 2 Kaesbong Ketum parte mantu cagub. Klean masih beritain terus. Doi akan cawe2 pegang remote control dari Oslo.... buat anak cucunya. Naruh orang2 nya di kabinet; bentar juga ikutan kampanye Pilkada.,45
@msaid_didu Kalo ada jalur adu domba pak didu Bu tifa pak refly pak gerung pak roysuryo pasti dah masuk kabinet .,21
@msaid_didu Anda juru maki yg tidak dapat jatah kabinet dong,10
@Andria75777 Mana ne pak presiden prabowo masa orang2 gini di kabinet indonesia kuat ??,14
@bengkeldodo Manyalaahh.. Tolong masukkan dalam kabinet Kokom kocheng PUPR untuk mengawasi infrastruktur Soleh kocheng pajak jadikan bendahara nemenin ibu SMI dan sebagai kocheng pariwisata.. Ini aja.. Kocheng aaiiuuaiauu.. https://t.co/kKtbuZuQwp,29
cok buzzer peny***ng kabinet makin merajalela ,6
eh br 3 hari kabinet baru pls stop lah gebrakannya,10
